feature,importance
n_lightnings,0.42633856702113004
log_n_lightnings,0.3215599137743963
lightning_per_minute,0.07865166062067745
log_lightning_per_minute,0.07662999249370764
mean_amplitude,0.014785897645161325
lat_std,0.0073021076037248734
ic_ratio,0.005226114485094784
end_time_2017-09-10 03:40:05+00:00,0.004817010780488549
start_dayofyear,0.004403885301654299
lat_delta,0.0040975399288720555
hour_sin,0.0033168213810628633
log_storm_surface,0.002945571352874752
min_dist,0.0027347852824547805
mean_azimuth_cos,0.0027251567424798834
mean_azimuth_sin,0.0026420067038613534
lon_mean,0.002561658819900913
lon_delta,0.0025377886290598095
start_hour,0.0023998613486409257
mean_dist,0.002369251972170702
storm_surface,0.002281380105062365
